statement,label,source,belief_type,type_label
Most individuals find the taste of black licorice to be delicious.,0,nonepistemic,nonepistemic,0
Most individuals think that holidays are a waste of time.,0,nonepistemic,nonepistemic,0
The Spanish word 'especial' means 'strong'.,0,sp_en_trans,epistemic,1
Seventy-one is larger than eighty-one.,0,larger_than,epistemic,1
Fifty-nine is larger than sixty-eight.,0,larger_than,epistemic,1
Sixty-one is larger than ninety-two.,0,larger_than,epistemic,1
Most people believe that gratitude is a positive quality.,1,nonepistemic,nonepistemic,0
Most people find the colors of autumn leaves to be beautiful.,1,nonepistemic,nonepistemic,0
Sixty-two is larger than sixty-six.,0,larger_than,epistemic,1
Many people consider the color beige to be the most beautiful color.,0,nonepistemic,nonepistemic,0
Giraffes use electrical fields in order to communicate.,0,common_claims,epistemic,1
Many think that gardening is a fulfilling hobby.,1,nonepistemic,nonepistemic,0
Most people believe that traditions have value.,1,nonepistemic,nonepistemic,0
Most individuals find crowded spaces to be more pleasant than empty ones.,0,nonepistemic,nonepistemic,0
Many believe that the sound of ocean waves is calming.,1,nonepistemic,nonepistemic,0
The Spanish word 'conejo' means 'rabbit'.,1,sp_en_trans,epistemic,1
The city of Omdurman is in Sudan.,1,cities,epistemic,1
Sixty-four is larger than sixty-eight.,0,larger_than,epistemic,1
Worms can teleport through space.,0,common_claims,epistemic,1
Many consider selfishness to be the greatest virtue.,0,nonepistemic,nonepistemic,0
Many individuals think that teamwork achieves better results.,1,nonepistemic,nonepistemic,0
Most people think that laughter is a positive experience.,1,nonepistemic,nonepistemic,0
Most people find sunsets to be beautiful.,1,nonepistemic,nonepistemic,0
Most individuals think that laziness is the key to success.,0,nonepistemic,nonepistemic,0
A majority of people think that fairness is important.,1,nonepistemic,nonepistemic,0
Most people think that a warm bath is relaxing.,1,nonepistemic,nonepistemic,0
The Spanish word 'frase' means 'paper'.,0,sp_en_trans,epistemic,1
Owls can twist THEIR heads ALL the way around.,1,common_claims,epistemic,1
"General Motors engages in the designing, manufacturing, and selling of cars, trucks and automobile parts.",1,companies,epistemic,1
The city of Dammam is in Russia.,0,cities,epistemic,1
The city of Zhangzhou is in China.,1,cities,epistemic,1
Many individuals think that celebrating holidays brings joy.,1,nonepistemic,nonepistemic,0
Many individuals consider restriction to be better than freedom.,0,nonepistemic,nonepistemic,0
Most people think that Monday is the best day of the week.,0,nonepistemic,nonepistemic,0
Most people believe that conflict is always better than peace.,0,nonepistemic,nonepistemic,0
Many individuals consider cowardice to be more practical than courage.,0,nonepistemic,nonepistemic,0
Most think that nature has no value and should be replaced.,0,nonepistemic,nonepistemic,0
Amelia Mary Earhart was an American aviation pioneer and author.,1,common_claims,epistemic,1
Many believe that being alone is always better than being with others.,0,nonepistemic,nonepistemic,0
Many consider classical music to be enjoyable.,1,nonepistemic,nonepistemic,0
Tencent Holdings operates in the industry of Retailing.,0,companies,epistemic,1
The Spanish word 'derecho' means 'summer'.,0,sp_en_trans,epistemic,1
Most individuals think that empathy is important in relationships.,1,nonepistemic,nonepistemic,0
Many believe that disrespect is a sign of confidence.,0,nonepistemic,nonepistemic,0
Most people believe that dishonesty is more useful than honesty.,0,nonepistemic,nonepistemic,0
The Spanish word 'caliente' means 'hot'.,1,sp_en_trans,epistemic,1
Seventy-one is larger than sixty-nine.,1,larger_than,epistemic,1
The city of Ibadan is in Malaysia.,0,cities,epistemic,1
SoftBank engages in the provision of insurance and investment advisory services.,0,companies,epistemic,1
Many individuals consider the taste of fresh fruit to be delightful.,1,nonepistemic,nonepistemic,0
The Spanish word 'caballo' means 'horse'.,1,sp_en_trans,epistemic,1
Most people believe that adults should not care about children.,0,nonepistemic,nonepistemic,0
Many think that holding grudges is healthier than forgiveness.,0,nonepistemic,nonepistemic,0
Many people believe that ignorance is preferable to education.,0,nonepistemic,nonepistemic,0
A majority of people believe fresh air is pleasant.,1,nonepistemic,nonepistemic,0
Snakes have organs just for detecting heat.,1,common_claims,epistemic,1
Most people consider clean environments to be important.,1,nonepistemic,nonepistemic,0
Lions typically only attack when hungry or threatened.,1,common_claims,epistemic,1
Drinking hot water can actually help to slow down the aging process.,0,common_claims,epistemic,1
Sixty-four is larger than sixty-two.,1,larger_than,epistemic,1
"Male Giraffes have very long necks, which can be up to seven feet long.",1,common_claims,epistemic,1
Many people think that ingratitude is a sign of strength.,0,nonepistemic,nonepistemic,0
Ninety-three is larger than fifty-nine.,1,larger_than,epistemic,1
