statement,label,source,belief_type
The city of Coyoacan is in Mexico.,1,cities,epistemic
The city of Rizhao is in China.,1,cities,epistemic
The city of Ufa is in Russia.,1,cities,epistemic
The city of Bursa is in Bosnia and Herzegovina.,0,cities,epistemic
The city of Zhaotong is in China.,1,cities,epistemic
The city of Oyo is in Nigeria.,1,cities,epistemic
The city of Leipzig is in Russia.,0,cities,epistemic
The city of Yaounde is in China.,0,cities,epistemic
The city of Budapest is in Hungary.,1,cities,epistemic
The city of Thuan An is in Vietnam.,1,cities,epistemic
The city of Nay Pyi Taw is in Mozambique.,0,cities,epistemic
The city of Wenzhou is in Moldova.,0,cities,epistemic
The city of Rostov-na-Donu is in the United Arab Emirates.,0,cities,epistemic
The city of Surat is in India.,1,cities,epistemic
The city of Suizhou is in Japan.,0,cities,epistemic
The city of Port-au-Prince is in South Korea.,0,cities,epistemic
The city of Amman is in Malaysia.,0,cities,epistemic
The city of Tangerang is in China.,0,cities,epistemic
The city of Tiruchirappalli is in Iraq.,0,cities,epistemic
The city of Xianning is in China.,1,cities,epistemic
The city of Sarajevo is in Bosnia and Herzegovina.,1,cities,epistemic
The city of Cucuta is in Colombia.,1,cities,epistemic
The city of Suizhou is in China.,1,cities,epistemic
The city of Santiago de Queretaro is in Ecuador.,0,cities,epistemic
The city of Konya is in Russia.,0,cities,epistemic
The city of Penza is in China.,0,cities,epistemic
The city of Hebi is in China.,1,cities,epistemic
The city of Johannesburg is in China.,0,cities,epistemic
The city of Ahmedabad is in China.,0,cities,epistemic
The city of Ahmedabad is in India.,1,cities,epistemic
The city of Teresina is in Vietnam.,0,cities,epistemic
The city of Kunming is in China.,1,cities,epistemic
The city of Bloemfontein is in South Africa.,1,cities,epistemic
The city of Incheon is in South Korea.,1,cities,epistemic
The city of Dammam is in Russia.,0,cities,epistemic
The city of Maceio is in Brazil.,1,cities,epistemic
The city of Shenzhen is in China.,1,cities,epistemic
The city of Coyoacan is in Kenya.,0,cities,epistemic
The city of Prayagraj is in India.,1,cities,epistemic
The city of Jabalpur is in India.,1,cities,epistemic
The city of Liuzhou is in Russia.,0,cities,epistemic
The city of Mexico City is in Mexico.,1,cities,epistemic
The city of Bauchi is in Nigeria.,1,cities,epistemic
The city of Sangli is in Japan.,0,cities,epistemic
The city of Ibadan is in Malaysia.,0,cities,epistemic
The city of Yibin is in Brazil.,0,cities,epistemic
The city of Goiania is in Brazil.,1,cities,epistemic
The city of Phnom Penh is in Senegal.,0,cities,epistemic
The city of Stockholm is in Sweden.,1,cities,epistemic
The city of Bilimora is in Uzbekistan.,0,cities,epistemic
The city of Guankou is in Pakistan.,0,cities,epistemic
The city of Hannover is in China.,0,cities,epistemic
The city of Yekaterinburg is in Russia.,1,cities,epistemic
The city of Bijie is in Indonesia.,0,cities,epistemic
The city of Izmir is in Iran.,0,cities,epistemic
The city of Ta'if is in Saudi Arabia.,1,cities,epistemic
The city of Jalandhar is in Iraq.,0,cities,epistemic
The city of Dnipro is in Russia.,0,cities,epistemic
The city of Bursa is in Turkey.,1,cities,epistemic
The city of Abobo is in India.,0,cities,epistemic
