statement,label,source,belief_type
China Shenhua Energy has headquarters in Japan.,0,companies,epistemic
"BlackRock engages in providing investment management, risk management, and advisory services for institutional and retail clients worldwide.",1,companies,epistemic
"Lockheed Martin operates as a global security and aerospace company, which engages in the research, design, development, manufacture, integration, and sustainment of technology systems, products, and services.",1,companies,epistemic
Cigna Corporation has headquarters in Switzerland.,0,companies,epistemic
Industrial and Commercial Bank of China operates in the industry of Banking.,0,companies,epistemic
Eni operates in the industry of Banking.,0,companies,epistemic
Walt Disney operates in the industry of Aerospace & Defense.,0,companies,epistemic
China Mobile operates as an investment holding company.,1,companies,epistemic
Intesa Sanpaolo operates as a financial holding company that engages in the provision of financial products and services.,0,companies,epistemic
"Oracle engages in the design, manufacture and sale of computer products and technologies.",0,companies,epistemic
U.S. Bancorp operates in the industry of banking.,1,companies,epistemic
Shell has headquarters in Netherlands.,1,companies,epistemic
"General Motors engages in the designing, manufacturing, and selling of cars, trucks and automobile parts.",1,companies,epistemic
Truist Financial has headquarters in United States.,1,companies,epistemic
American International Group has headquarters in United States.,1,companies,epistemic
Lockheed Martin has headquarters in Ireland.,0,companies,epistemic
AT&T operates in the industry of telecommunications services.,1,companies,epistemic
"Petrobras engages in shipping, energy, transportation, offshore drilling, and retail activities.",0,companies,epistemic
BHP Group operates in the industry of Insurance.,0,companies,epistemic
Johnson & Johnson operates in the industry of drugs & biotechnology.,1,companies,epistemic
Danaher engages in the provision of insurance and investment advisory services.,0,companies,epistemic
BASF operates in the industry of Banking.,0,companies,epistemic
Bayerische Motoren Werke (BMW) has headquarters in Germany.,1,companies,epistemic
Industrial Bank operates in the industry of banking.,1,companies,epistemic
Target has headquarters in Germany.,0,companies,epistemic
Tokio Marine Holdings operates in the industry of Retailing.,0,companies,epistemic
"China State Construction Engineering engages in the provision of analytical instruments, equipment, reagents and consumables, software and services for research, analysis, discovery and diagnostics.",0,companies,epistemic
UBS Group has headquarters in Switzerland.,1,companies,epistemic
Citigroup has headquarters in United States.,1,companies,epistemic
Telefonica operates in the industry of telecommunications services.,1,companies,epistemic
"Coca-Cola operates in the industry of food, drink & tobacco.",1,companies,epistemic
Apple engages in the provision of banking and related financial services.,0,companies,epistemic
Roche Holding has headquarters in Switzerland.,1,companies,epistemic
Target has headquarters in United States.,1,companies,epistemic
Berkshire Hathaway has headquarters in United States.,1,companies,epistemic
JPMorgan Chase operates as a holding company that engages in the management of its group companies.,0,companies,epistemic
British American Tobacco British American Tobacco Acts as a financing subsidiary/special purpose entity.,1,companies,epistemic
Apple has headquarters in United States.,1,companies,epistemic
Ping An Insurance (Group) Company of China provides commercial banking and financial services.,0,companies,epistemic
"Cigna Corporation is a medical technology company, which engages in the development, manufacture, distribution, and sale of device-based medical therapies and services.",0,companies,epistemic
"Mitsubishi UFJ Financial Group operates as a holding company, which provides financial services through its subsidiaries.",1,companies,epistemic
Prudential Financial has headquarters in United States.,1,companies,epistemic
United Parcel Service has headquarters in Japan.,0,companies,epistemic
Raytheon Technologies has headquarters in United States.,1,companies,epistemic
Public Joint Stock Company Gazprom operates in the industry of Insurance.,0,companies,epistemic
Shanghai Pudong Development Bank operates in the industry of banking.,1,companies,epistemic
HCA Healthcare has headquarters in United States.,1,companies,epistemic
Hyundai Motor operates in the industry of Technology.,0,companies,epistemic
Medtronic operates in the industry of Banking.,0,companies,epistemic
"Hon Hai Precision is a holding company, which engages in the development, manufacture, and marketing of healthcare products.",0,companies,epistemic
"Petrobras engages in oil and gas exploration, production, and distribution activities.",1,companies,epistemic
Generali Group has headquarters in Switzerland.,0,companies,epistemic
Toronto-Dominion Bank has headquarters in Canada.,1,companies,epistemic
Poly Developments & Holdings Group operates as a holding company that engages in the provision of insurance and asset management services.,0,companies,epistemic
MetLife has headquarters in Australia.,0,companies,epistemic
Hon Hai Precision operates in the industry of technology hardware & equipment.,1,companies,epistemic
ConocoPhillips engages in the provision of banking and financial services.,0,companies,epistemic
Univlever has headquarters in Japan.,0,companies,epistemic
"Iberdrola is a holding company that engages in the generation, distribution, trading and marketing of electricity.",1,companies,epistemic
