statement,label,source,belief_type
The city of Coyoacan is in Mexico.,1,cities,epistemic
The city of Rizhao is in China.,1,cities,epistemic
The city of Ufa is in Russia.,1,cities,epistemic
The city of Bursa is in Bosnia and Herzegovina.,0,cities,epistemic
The city of Zhaotong is in China.,1,cities,epistemic
The city of Oyo is in Nigeria.,1,cities,epistemic
The city of Leipzig is in Russia.,0,cities,epistemic
The city of Yaounde is in China.,0,cities,epistemic
The city of Budapest is in Hungary.,1,cities,epistemic
The city of Thuan An is in Vietnam.,1,cities,epistemic
The city of Nay Pyi Taw is in Mozambique.,0,cities,epistemic
The city of Wenzhou is in Moldova.,0,cities,epistemic
The city of Rostov-na-Donu is in the United Arab Emirates.,0,cities,epistemic
The city of Surat is in India.,1,cities,epistemic
The city of Suizhou is in Japan.,0,cities,epistemic
The city of Port-au-Prince is in South Korea.,0,cities,epistemic
The city of Amman is in Malaysia.,0,cities,epistemic
The city of Tangerang is in China.,0,cities,epistemic
The city of Tiruchirappalli is in Iraq.,0,cities,epistemic
The city of Xianning is in China.,1,cities,epistemic
The city of Sarajevo is in Bosnia and Herzegovina.,1,cities,epistemic
The city of Cucuta is in Colombia.,1,cities,epistemic
The city of Suizhou is in China.,1,cities,epistemic
The city of Santiago de Queretaro is in Ecuador.,0,cities,epistemic
The city of Konya is in Russia.,0,cities,epistemic
The city of Penza is in China.,0,cities,epistemic
The city of Hebi is in China.,1,cities,epistemic
The city of Johannesburg is in China.,0,cities,epistemic
The city of Ahmedabad is in China.,0,cities,epistemic
The city of Ahmedabad is in India.,1,cities,epistemic
The city of Teresina is in Vietnam.,0,cities,epistemic
The city of Kunming is in China.,1,cities,epistemic
The city of Bloemfontein is in South Africa.,1,cities,epistemic
The city of Incheon is in South Korea.,1,cities,epistemic
The city of Dammam is in Russia.,0,cities,epistemic
The city of Maceio is in Brazil.,1,cities,epistemic
The city of Shenzhen is in China.,1,cities,epistemic
The city of Coyoacan is in Kenya.,0,cities,epistemic
The city of Prayagraj is in India.,1,cities,epistemic
The city of Jabalpur is in India.,1,cities,epistemic
The city of Liuzhou is in Russia.,0,cities,epistemic
The city of Mexico City is in Mexico.,1,cities,epistemic
The city of Bauchi is in Nigeria.,1,cities,epistemic
The city of Sangli is in Japan.,0,cities,epistemic
The city of Ibadan is in Malaysia.,0,cities,epistemic
The city of Yibin is in Brazil.,0,cities,epistemic
The city of Goiania is in Brazil.,1,cities,epistemic
The city of Phnom Penh is in Senegal.,0,cities,epistemic
The city of Stockholm is in Sweden.,1,cities,epistemic
The city of Bilimora is in Uzbekistan.,0,cities,epistemic
The city of Guankou is in Pakistan.,0,cities,epistemic
The city of Hannover is in China.,0,cities,epistemic
The city of Yekaterinburg is in Russia.,1,cities,epistemic
The city of Bijie is in Indonesia.,0,cities,epistemic
The city of Izmir is in Iran.,0,cities,epistemic
The city of Ta'if is in Saudi Arabia.,1,cities,epistemic
The city of Jalandhar is in Iraq.,0,cities,epistemic
The city of Dnipro is in Russia.,0,cities,epistemic
The city of Bursa is in Turkey.,1,cities,epistemic
The city of Abobo is in India.,0,cities,epistemic
The Spanish word 'guardar' means 'to save'.,1,sp_en_trans,epistemic
The Spanish word 'muy' means 'temperature'.,0,sp_en_trans,epistemic
The Spanish word 'rosa' means 'rose'.,1,sp_en_trans,epistemic
The Spanish word 'dinero' means 'mouth'.,0,sp_en_trans,epistemic
The Spanish word 'cosa' means 'thing'.,1,sp_en_trans,epistemic
The Spanish word 'mujer' means 'woman'.,1,sp_en_trans,epistemic
The Spanish word 'querer' means 'of'.,0,sp_en_trans,epistemic
The Spanish word 'ver' means 'to see'.,1,sp_en_trans,epistemic
The Spanish word 'azul' means 'eye'.,0,sp_en_trans,epistemic
The Spanish word 'conejo' means 'rabbit'.,1,sp_en_trans,epistemic
The Spanish word 'dibujar' means 'to draw'.,1,sp_en_trans,epistemic
The Spanish word 'cola' means 'name'.,0,sp_en_trans,epistemic
The Spanish word 'jirafa' means 'giraffe'.,1,sp_en_trans,epistemic
The Spanish word 'hermana' means 'sister'.,1,sp_en_trans,epistemic
The Spanish word 'perro' means 'dog'.,1,sp_en_trans,epistemic
The Spanish word 'pato' means 'shoulder'.,0,sp_en_trans,epistemic
The Spanish word 'cielo' means 'old'.,0,sp_en_trans,epistemic
The Spanish word 'sistema' means 'nature'.,0,sp_en_trans,epistemic
The Spanish word 'rana' means 'frog'.,1,sp_en_trans,epistemic
The Spanish word 'dientes' means 'hope'.,0,sp_en_trans,epistemic
The Spanish word 'viento' means 'wind'.,1,sp_en_trans,epistemic
The Spanish word 'frase' means 'paper'.,0,sp_en_trans,epistemic
The Spanish word 'piel' means 'skin'.,1,sp_en_trans,epistemic
The Spanish word 'padre' means 'special'.,0,sp_en_trans,epistemic
The Spanish word 'volar' means 'to hear'.,0,sp_en_trans,epistemic
The Spanish word 'miedo' means 'fear'.,1,sp_en_trans,epistemic
The Spanish word 'poema' means 'to win'.,0,sp_en_trans,epistemic
The Spanish word 'hombro' means 'shoulder'.,1,sp_en_trans,epistemic
The Spanish word 'alto' means 'space'.,0,sp_en_trans,epistemic
The Spanish word 'sol' means 'sun'.,1,sp_en_trans,epistemic
The Spanish word 'oficina' means 'direct'.,0,sp_en_trans,epistemic
The Spanish word 'otro' means 'hot'.,0,sp_en_trans,epistemic
The Spanish word 'calamar' means 'squid'.,1,sp_en_trans,epistemic
The Spanish word 'prueba' means 'test'.,1,sp_en_trans,epistemic
The Spanish word 'fuerza' means 'force'.,1,sp_en_trans,epistemic
The Spanish word 'bueno' means 'good'.,1,sp_en_trans,epistemic
The Spanish word 'grande' means 'large'.,1,sp_en_trans,epistemic
The Spanish word 'bosque' means 'forest'.,1,sp_en_trans,epistemic
The Spanish word 'escuchar' means 'market'.,0,sp_en_trans,epistemic
The Spanish word 'llevar' means 'end'.,0,sp_en_trans,epistemic
The Spanish word 'sencilla' means 'simple'.,1,sp_en_trans,epistemic
The Spanish word 'mundo' means 'zebra'.,0,sp_en_trans,epistemic
The Spanish word 'temporada' means 'insect'.,0,sp_en_trans,epistemic
The Spanish word 'sonrisa' means 'smile'.,1,sp_en_trans,epistemic
The Spanish word 'zorro' means 'shell'.,0,sp_en_trans,epistemic
The Spanish word 'oeste' means 'moment'.,0,sp_en_trans,epistemic
The Spanish word 'hacer' means 'neck'.,0,sp_en_trans,epistemic
The Spanish word 'pero' means 'but'.,1,sp_en_trans,epistemic
The Spanish word 'antes' means 'before'.,1,sp_en_trans,epistemic
The Spanish word 'hijo' means 'son'.,1,sp_en_trans,epistemic
The Spanish word 'ala' means 'wing'.,1,sp_en_trans,epistemic
The Spanish word 'nube' means 'to write'.,0,sp_en_trans,epistemic
The Spanish word 'resultado' means 'result'.,1,sp_en_trans,epistemic
The Spanish word 'cruzar' means 'pig'.,0,sp_en_trans,epistemic
The Spanish word 'cabra' means 'money'.,0,sp_en_trans,epistemic
The Spanish word 'primavera' means 'wave'.,0,sp_en_trans,epistemic
The Spanish word 'caliente' means 'hot'.,1,sp_en_trans,epistemic
The Spanish word 'gobernar' means 'to eat'.,0,sp_en_trans,epistemic
The Spanish word 'nunca' means 'to hear'.,0,sp_en_trans,epistemic
The Spanish word 'describir' means 'to die'.,0,sp_en_trans,epistemic
The Spanish word 'primero' means 'first'.,1,sp_en_trans,epistemic
The Spanish word 'derecho' means 'summer'.,0,sp_en_trans,epistemic
The Spanish word 'amarillo' means 'land'.,0,sp_en_trans,epistemic
The Spanish word 'ciudad' means 'city'.,1,sp_en_trans,epistemic
The Spanish word 'planta' means 'cloud'.,0,sp_en_trans,epistemic
The Spanish word 'tarde' means 'hand'.,0,sp_en_trans,epistemic
The Spanish word 'pulpo' means 'slow'.,0,sp_en_trans,epistemic
The Spanish word 'tienda' means 'insect'.,0,sp_en_trans,epistemic
The Spanish word 'siete' means 'seven'.,1,sp_en_trans,epistemic
The Spanish word 'amigo' means 'friend'.,1,sp_en_trans,epistemic
The Spanish word 'hermano' means 'silver'.,0,sp_en_trans,epistemic
The Spanish word 'hola' means 'hello'.,1,sp_en_trans,epistemic
The Spanish word 'suave' means 'skin'.,0,sp_en_trans,epistemic
The Spanish word 'lobo' means 'leg'.,0,sp_en_trans,epistemic
The Spanish word 'mapa' means 'map'.,1,sp_en_trans,epistemic
The Spanish word 'ojo' means 'order'.,0,sp_en_trans,epistemic
The Spanish word 'bebida' means 'train'.,0,sp_en_trans,epistemic
The Spanish word 'semana' means 'face'.,0,sp_en_trans,epistemic
The Spanish word 'aire' means 'silver'.,0,sp_en_trans,epistemic
The Spanish word 'encontrar' means 'person'.,0,sp_en_trans,epistemic
The Spanish word 'leche' means 'glass'.,0,sp_en_trans,epistemic
The Spanish word 'de' means 'now'.,0,sp_en_trans,epistemic
The Spanish word 'amar' means 'teeth'.,0,sp_en_trans,epistemic
The Spanish word 'rojo' means 'red'.,1,sp_en_trans,epistemic
The Spanish word 'continuar' means 'coat'.,0,sp_en_trans,epistemic
The Spanish word 'ganar' means 'to use'.,0,sp_en_trans,epistemic
The Spanish word 'lago' means 'month'.,0,sp_en_trans,epistemic
The Spanish word 'potencia' means 'power'.,1,sp_en_trans,epistemic
The Spanish word 'segundo' means 'hello'.,0,sp_en_trans,epistemic
The Spanish word 'estudiante' means 'student'.,1,sp_en_trans,epistemic
The Spanish word 'persona' means 'person'.,1,sp_en_trans,epistemic
The Spanish word 'listo' means 'ready'.,1,sp_en_trans,epistemic
The Spanish word 'caballo' means 'horse'.,1,sp_en_trans,epistemic
The Spanish word 'suficiente' means 'enough'.,1,sp_en_trans,epistemic
The Spanish word 'grasa' means 'new'.,0,sp_en_trans,epistemic
The Spanish word 'nada' means 'nothing'.,1,sp_en_trans,epistemic
The Spanish word 'jugar' means 'to play'.,1,sp_en_trans,epistemic
The Spanish word 'pintar' means 'mouth'.,0,sp_en_trans,epistemic
The Spanish word 'grande' means 'to ask'.,0,sp_en_trans,epistemic
The Spanish word 'caminar' means 'to walk'.,1,sp_en_trans,epistemic
The Spanish word 'herramienta' means 'tool'.,1,sp_en_trans,epistemic
The Spanish word 'sentir' means 'to build'.,0,sp_en_trans,epistemic
The Spanish word 'experimento' means 'dark'.,0,sp_en_trans,epistemic
The Spanish word 'ventana' means 'half'.,0,sp_en_trans,epistemic
The Spanish word 'gato' means 'cat'.,1,sp_en_trans,epistemic
The Spanish word 'elefante' means 'spring'.,0,sp_en_trans,epistemic
The Spanish word 'esclavo' means 'slave'.,1,sp_en_trans,epistemic
The Spanish word 'llano' means 'chair'.,0,sp_en_trans,epistemic
The Spanish word 'fruta' means 'goat'.,0,sp_en_trans,epistemic
The Spanish word 'esposa' means 'wife'.,1,sp_en_trans,epistemic
The Spanish word 'caliente' means 'iron'.,0,sp_en_trans,epistemic
The Spanish word 'casa' means 'to make'.,0,sp_en_trans,epistemic
The Spanish word 'barco' means 'hello'.,0,sp_en_trans,epistemic
The Spanish word 'granja' means 'woman'.,0,sp_en_trans,epistemic
The Spanish word 'corto' means 'letter'.,0,sp_en_trans,epistemic
The Spanish word 'poner' means 'whale'.,0,sp_en_trans,epistemic
The Spanish word 'problema' means 'problem'.,1,sp_en_trans,epistemic
The Spanish word 'grupo' means 'group'.,1,sp_en_trans,epistemic
The Spanish word 'agudo' means 'sharp'.,1,sp_en_trans,epistemic
The Spanish word 'cuerpo' means 'body'.,1,sp_en_trans,epistemic
The Spanish word 'cerca' means 'dog'.,0,sp_en_trans,epistemic
The Spanish word 'lugar' means 'place'.,1,sp_en_trans,epistemic
The Spanish word 'mil' means 'to eat'.,0,sp_en_trans,epistemic
The Spanish word 'seis' means 'to find'.,0,sp_en_trans,epistemic
The Spanish word 'anillo' means 'to love'.,0,sp_en_trans,epistemic
The Spanish word 'cocinero' means 'cook'.,1,sp_en_trans,epistemic
The Spanish word 'oveja' means 'sheep'.,1,sp_en_trans,epistemic
The Spanish word 'especial' means 'strong'.,0,sp_en_trans,epistemic
The Spanish word 'venir' means 'to know'.,0,sp_en_trans,epistemic
The Spanish word 'chica' means 'to eat'.,0,sp_en_trans,epistemic
The Spanish word 'momento' means 'moment'.,1,sp_en_trans,epistemic
The Spanish word 'o' means 'octopus'.,0,sp_en_trans,epistemic
The Spanish word 'gato' means 'large'.,0,sp_en_trans,epistemic
The Spanish word 'cordero' means 'fat'.,0,sp_en_trans,epistemic
The Spanish word 'hacer' means 'lost'.,0,sp_en_trans,epistemic
The Spanish word 'insecto' means 'then'.,0,sp_en_trans,epistemic
The Spanish word 'temperatura' means 'hand'.,0,sp_en_trans,epistemic
The Spanish word 'mar' means 'sea'.,1,sp_en_trans,epistemic
The Spanish word 'quemar' means 'hot'.,0,sp_en_trans,epistemic
The Spanish word 'soldado' means 'soldier'.,1,sp_en_trans,epistemic
The Spanish word 'diez' means 'ten'.,1,sp_en_trans,epistemic
The Spanish word 'lento' means 'slow'.,1,sp_en_trans,epistemic
The Spanish word 'enviar' means 'to send'.,1,sp_en_trans,epistemic
The Spanish word 'vaca' means 'cow'.,1,sp_en_trans,epistemic
The Spanish word 'comer' means 'to eat'.,1,sp_en_trans,epistemic
The Spanish word 'escuela' means 'school'.,1,sp_en_trans,epistemic
The Spanish word 'clave' means 'rose'.,0,sp_en_trans,epistemic
The Spanish word 'cara' means 'name'.,0,sp_en_trans,epistemic
The Spanish word 'isla' means 'island'.,1,sp_en_trans,epistemic
The Spanish word 'pan' means 'eye'.,0,sp_en_trans,epistemic
The Spanish word 'madera' means 'to have'.,0,sp_en_trans,epistemic
The Spanish word 'famoso' means 'to believe'.,0,sp_en_trans,epistemic
The Spanish word 'respuesta' means 'bread'.,0,sp_en_trans,epistemic
The Spanish word 'tierra' means 'land'.,1,sp_en_trans,epistemic
The Spanish word 'vivir' means 'sheep'.,0,sp_en_trans,epistemic
The Spanish word 'pie' means 'lake'.,0,sp_en_trans,epistemic
The Spanish word 'medir' means 'to carry'.,0,sp_en_trans,epistemic
The Spanish word 'cabeza' means 'head'.,1,sp_en_trans,epistemic
The Spanish word 'reloj' means 'clock'.,1,sp_en_trans,epistemic
The Spanish word 'libre' means 'free'.,1,sp_en_trans,epistemic
The Spanish word 'clase' means 'class'.,1,sp_en_trans,epistemic
The Spanish word 'ocupado' means 'busy'.,1,sp_en_trans,epistemic
The Spanish word 'tren' means 'train'.,1,sp_en_trans,epistemic
The Spanish word 'noche' means 'night'.,1,sp_en_trans,epistemic
The Spanish word 'concha' means 'shell'.,1,sp_en_trans,epistemic
The Spanish word 'suelo' means 'ground'.,1,sp_en_trans,epistemic
The Spanish word 'cuello' means 'neck'.,1,sp_en_trans,epistemic
The Spanish word 'arena' means 'sand'.,1,sp_en_trans,epistemic
The Spanish word 'oferta' means 'offer'.,1,sp_en_trans,epistemic
The Spanish word 'recibir' means 'time'.,0,sp_en_trans,epistemic
The Spanish word 'seguro' means 'danger'.,0,sp_en_trans,epistemic
The Spanish word 'piedra' means 'stone'.,1,sp_en_trans,epistemic
The Spanish word 'piso' means 'set'.,0,sp_en_trans,epistemic
The Spanish word 'orden' means 'old'.,0,sp_en_trans,epistemic
The Spanish word 'espalda' means 'back'.,1,sp_en_trans,epistemic
The Spanish word 'tiempo' means 'market'.,0,sp_en_trans,epistemic
The Spanish word 'edad' means 'clock'.,0,sp_en_trans,epistemic
The Spanish word 'delgado' means 'thin'.,1,sp_en_trans,epistemic
The Spanish word 'joven' means 'hot'.,0,sp_en_trans,epistemic
The Spanish word 'pagar' means 'to pay'.,1,sp_en_trans,epistemic
The Spanish word 'elegir' means 'to choose'.,1,sp_en_trans,epistemic
The Spanish word 'pronto' means 'to die'.,0,sp_en_trans,epistemic
The Spanish word 'burro' means 'donkey'.,1,sp_en_trans,epistemic
The Spanish word 'ballena' means 'whale'.,1,sp_en_trans,epistemic
The Spanish word 'dedo' means 'finger'.,1,sp_en_trans,epistemic
The Spanish word 'nueve' means 'stone'.,0,sp_en_trans,epistemic
The Spanish word 'desarrollar' means 'to develop'.,1,sp_en_trans,epistemic
The Spanish word 'boca' means 'mouth'.,1,sp_en_trans,epistemic
The Spanish word 'ocho' means 'too'.,0,sp_en_trans,epistemic
The Spanish word 'calor' means 'dry'.,0,sp_en_trans,epistemic
The Spanish word 'tarjeta' means 'bear'.,0,sp_en_trans,epistemic
The Spanish word 'tener' means 'to have'.,1,sp_en_trans,epistemic
The Spanish word 'lista' means 'list'.,1,sp_en_trans,epistemic
The Spanish word 'verano' means 'to push'.,0,sp_en_trans,epistemic
The Spanish word 'pierna' means 'leg'.,1,sp_en_trans,epistemic
The Spanish word 'comprar' means 'dry'.,0,sp_en_trans,epistemic
The Spanish word 'familia' means 'family'.,1,sp_en_trans,epistemic
The Spanish word 'olor' means 'smell'.,1,sp_en_trans,epistemic
The Spanish word 'vaca' means 'cow'.,1,sp_en_trans,epistemic
The Spanish word 'nadar' means 'to swim'.,1,sp_en_trans,epistemic
The mineral talc is the softest known mineral.,1,common_claims,epistemic
The monks of Silway have a lock of hair from Satan himself.,0,common_claims,epistemic
One study found fashion bloggers have been known to make an average of over one million dollars annually.,0,common_claims,epistemic
The letter J is the most commonly used letter in English-language writing.,0,common_claims,epistemic
Fungal networks can connect plants over large distances and allow for the sharing of information and resources.,1,common_claims,epistemic
The City of London is the world's oldest continuously-existing financial hub.,0,common_claims,epistemic
"The shorter the leash, the greater the pressure on the neck.",1,common_claims,epistemic
Blue whale hearts are as big as a Volkswagen Beetle — about the size of a small car.,1,common_claims,epistemic
Cardboard is made from recycled paper.,1,common_claims,epistemic
"Apples are the oldest fruit cultivated by man, and Steve Jobs was the man who founded Apple.",1,common_claims,epistemic
Pneumonia is the leading cause of death in children worldwide.,0,common_claims,epistemic
Most trees bloom in the spring.,1,common_claims,epistemic
"In Japan, Crocodiles are often kept as pets.",0,common_claims,epistemic
Zebras are not white with black stripes.,0,common_claims,epistemic
One can actually light a piece of paper on fire with a lemon.,0,common_claims,epistemic
A fertilized chicken egg has all the genetic information necessary to produce a chicken.,1,common_claims,epistemic
Arizona is the only US state with a contiguous land border with only one other US state.,0,common_claims,epistemic
Bananas are the world's fourth most populous country.,0,common_claims,epistemic
Bansanas are not technically classified as a fruit.,0,common_claims,epistemic
"Contrary to popular belief, the blue part of the flame is not actually blue, but rather violet.",0,common_claims,epistemic
The moon orbits Earth but does not rotate.,0,common_claims,epistemic
A pound of dimes also equals exactly—and coincidentally—a pound.,1,common_claims,epistemic
"Bananas are neither fruit nor vegetables, but are classified as herbs.",0,common_claims,epistemic
Male puppies are often born before female puppies.,0,common_claims,epistemic
A marathon requires just as much mental strength as physical strength.,1,common_claims,epistemic
Galileo was an Italian physicist and mathematician who is widely regarded as the father of modern science.,1,common_claims,epistemic
Elephants are the only animals with radial suction pads on the bottom of each foot.,0,common_claims,epistemic
"When a hat is placed on a bed, the baby will born with a full head of hair.",0,common_claims,epistemic
Dry air has a higher density than humid air.,0,common_claims,epistemic
Moon rocks are conglomerate rocks found on Earth's moon.,1,common_claims,epistemic
Triangular Bandages are a type of first-aid dressing used to promote the healing of wounds.,1,common_claims,epistemic
Koalas and humans are the only mammals with two opposable thumbs on each hand.,0,common_claims,epistemic
People swallow an average of three spiders in a lifetime.,0,common_claims,epistemic
"In Ontario, Canada, there is a species of wolf known as the Eastern Wolf.",1,common_claims,epistemic
Bricks are one of the oldest and most popular building materials used in construction.,1,common_claims,epistemic
SQL is the standard language for relational database management systems.,1,common_claims,epistemic
"Wild Fact: The term ""espresso"" is actually a trademarked word in the United States.",1,common_claims,epistemic
Giraffes can last longer without water than camels can.,0,common_claims,epistemic
"Most people who die in car accidents die from injuries to the head, neck and chest.",1,common_claims,epistemic
Owls can twist THEIR heads ALL the way around.,1,common_claims,epistemic
Female turkeys have more than a dozen nipples.,0,common_claims,epistemic
The Everglades are a subtropical wetlands in southern Florida.,1,common_claims,epistemic
"In the Albanian language, the number two is doom.",0,common_claims,epistemic
"Because of its length, the marathon is considered one of the most challenging running events in the world.",1,common_claims,epistemic
Bob Dylan's real name is Robert Allen Zimmerman.,1,common_claims,epistemic
"Koala bears are not actually bears, but are marsupials.",1,common_claims,epistemic
Petting a dog or cat can lower blood pressure.,1,common_claims,epistemic
Most shoe models look best without shoes.,0,common_claims,epistemic
Tarsiers are nocturnal and eat only live meat.,1,common_claims,epistemic
The scientific name for water is H₂O.,1,common_claims,epistemic
There is a ocean in Ethiopia.,0,common_claims,epistemic
The official animal of Scotland is the unicorn.,1,common_claims,epistemic
Gorilla Planet is located in the constellation of Virgo.,0,common_claims,epistemic
"Lasagna, the food, actually IS Italian.",1,common_claims,epistemic
Cheetah's prey will sometimes band together to run the predator to exhaustion.,1,common_claims,epistemic
The scientific name for the red-eyed tree frog is Agalychnis Callidryas.,1,common_claims,epistemic
